energyfamiliarity,currenthydrogen,currentgeothermal,currentsolar,currentcoal,currentnuclear,currenthydroelectric,currentoil,currentnaturalgas,stdevhydrogen,stdevgeothermal,stdevsolar,stdevcoal,stdevnuclear,stdevhydroelectric,stdevoil,stdevnaturalgas,avgstdevoff,avgoff,hydrogenoff,geothermaloff,solaroff,coaloff,nuclearoff,hydroelectricoff,oiloff,naturalgasoff,wanthydrogen,wantgeothermal,wantsolar,wantcoal,wantnuclear,wanthydroelectric,wantoil,wantnaturalgas,important,worry,personalimpact,futureimpact,age,race,gender,education,householdincome,state,zipcode,ideology,ideologystrength,party,sassy,difwanthydrogen,difwantgeothermal,difwantsolar,difwantcoal,difwantnuclear,difwanthydroelectric,difwantoil,difwantnaturalgas
About the Same,13,25,42,35,17,54,78,56,1.451283529,3.767367366,4.440417349,0.878734198,0.535857165,4.999823694,3.333424339,2.624068081,2.753871965,30.1,13,24.6,39.3,9.1,-5.2,47.8,77.5,24.3,0,0,100,0,0,0,0,0,Somewhat important,Somewhat Worried,Only a Little,A Great Deal,22,White,Woman,High school diploma or GED,"$25,000-$49,999",Ohio,43701,Liberal,Moderately,Democrat,Concerned,-13,-25,58,-35,-17,-54,-78,-56
About the Same,2,5,15,11,14,30,20,20,-0.395383018,0.140512636,0.789121155,-0.665847673,0.240442396,2.298577655,-0.246843584,-0.00021374,0.597117732,12.125,2,4.6,12.3,-14.9,-8.2,23.8,19.5,-11.7,30,20,35,0,0,35,0,0,Very Important,Very Worried,A Moderate Amount,A Great Deal,68,White,Woman,Associates or technical degree,"Less than $25,000",Ohio,44035,Liberal,Moderately,Democrat,Alarmed,28,15,20,-11,-14,5,-20,-20
About the Same,3,2,10,15,7,7,38,18,-0.227504241,-0.403515574,0.112955193,-0.408417361,-0.448858731,-0.290116465,0.864274047,-0.146007175,0.362706098,11.25,3,1.6,7.3,-10.9,-15.2,0.8,37.5,-13.7,0,15,40,0,15,10,,20,Very Important,Somewhat Worried,A Moderate Amount,A Great Deal,32,White,Woman,Graduate or professional degree ,"$100,000-$149,999",Minnesota,55901,Liberal,Strongly,Democrat,Concerned,-3,13,30,-15,8,3,-38,2
About the Same,5,5,10,10,10,5,35,20,0.108253313,0.140512636,0.112955193,-0.730205251,-0.153443962,-0.515220301,0.679087776,-0.00021374,0.304986522,11.55,5,4.6,7.3,-15.9,-12.2,-1.2,34.5,-11.7,10,0,10,5,15,10,20,30,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,40,White,Man,Associates or technical degree,"$50,000-$74,999",Missouri,63645,Conservative,Strongly,Republican,Alarmed,5,-5,0,-5,5,5,-15,10
About the Same,25,25,5,5,5,5,25,5,3.465828853,3.767367366,-0.563210768,-1.051993141,-0.645801911,-0.515220301,0.061800203,-1.093664499,1.39561088,17.8,25,24.6,2.3,-20.9,-17.2,-1.2,24.5,-26.7,25,25,25,0,0,25,0,0,Somewhat important,Somewhat Worried,Only a Little,A Moderate Amount,32,"Black or African American,Asian or Asian American",Man,"Some college, but no degree","Less than $25,000",California,93933,Moderate,Moderately,Independent,Cautious,0,0,20,-5,-5,20,-25,-5
About the Same,5,2,5,40,10,10,15,13,0.108253313,-0.403515574,-0.563210768,1.200522088,-0.153443962,0.04753929,-0.55548737,-0.510490761,0.442807891,9.025,5,1.6,2.3,14.1,-12.2,3.8,14.5,-18.7,15,5,10,10,20,20,10,10,Somewhat important,Somewhat Worried,Only a Little,Only a Little,66,White,Man,"Some college, but no degree","$25,000-$49,999",Florida,33770,Moderate,Moderately,Independent,Cautious,10,3,5,-30,10,10,-5,-3
About the Same,2,4,4,10,10,5,45,20,-0.395383018,-0.040830101,-0.698443961,-0.730205251,-0.153443962,-0.515220301,1.296375348,-0.00021374,0.47876446,11.55,2,3.6,1.3,-15.9,-12.2,-1.2,44.5,-11.7,5,5,5,0,25,10,25,25,Not too important,Not At All Worried,Only a Little,Only a Little,32,White,Man,Bachelor degree,"$50,000-$74,999",New York,13027,Conservative,Moderately,Republican,Doubtful,3,1,1,-10,15,5,-20,5
About the Same,10,10,15,15,0,10,20,20,0.947647198,1.047226318,0.789121155,-0.408417361,-1.138159859,0.04753929,-0.246843584,-0.00021374,0.578146063,12.5,10,9.6,12.3,-10.9,-22.2,3.8,19.5,-11.7,0,0,35,5,0,25,10,10,Very Important,Somewhat Worried,Not at All,A Moderate Amount,60,White,Woman,Bachelor degree,"$50,000-$74,999",Pennsylvania,15137,Conservative,Weakly,Republican,Concerned,-10,-10,20,-10,0,15,-10,-10
About the Same,0,0,5,15,0,5,25,50,-0.731140572,-0.766201047,-0.563210768,-0.408417361,-1.138159859,-0.515220301,0.061800203,2.186687777,0.796354736,9.975,0,-0.4,2.3,-10.9,-22.2,-1.2,24.5,18.3,0,0,50,0,0,0,50,0,Not too important,Not Very Worried,Not at All,A Moderate Amount,59,White,Woman,Graduate or professional degree ,"$50,000-$74,999",New York,10036,Conservative,Strongly,Republican,Cautious,0,0,45,-15,0,-5,25,-50
More Than,1,2,7,30,4,1,35,20,-0.563261795,-0.403515574,-0.292744384,0.556946308,-0.7442735,-0.965427974,0.679087776,-0.00021374,0.525683881,10.075,1,1.6,4.3,4.1,-18.2,-5.2,34.5,-11.7,9,14,20,5,22,15,5,10,Extremely Important,Very Worried,A Great Deal,A Great Deal,61,White,Man,Associates or technical degree,"Less than $25,000",Missouri,63401,Moderate,Strongly,Democrat,Alarmed,8,12,13,-25,18,14,-30,-10
More Than,3,0,10,40,2,10,15,20,-0.227504241,-0.766201047,0.112955193,1.200522088,-0.94121668,0.04753929,-0.55548737,-0.00021374,0.481454956,9.375,3,-0.4,7.3,14.1,-20.2,3.8,14.5,-11.7,20,0,50,0,0,30,0,10,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,27,White,Woman,Bachelor degree,"$25,000-$49,999",Washington,98601,Liberal,Moderately,Democrat,Alarmed,17,0,40,-40,-2,20,-15,-10
About the Same,5,3,2,30,9,4,40,7,0.108253313,-0.222172837,-0.968910345,0.556946308,-0.251915552,-0.627772219,0.987731562,-0.947871065,0.58394665,11.5,5,2.6,-0.7,4.1,-13.2,-2.2,39.5,-24.7,30,0,30,0,10,30,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,28,Asian or Asian American,Man,"Some college, but no degree","$25,000-$49,999",California,92503,Liberal,Strongly,Other,Alarmed,25,-3,28,-30,1,26,-40,-7
About the Same,5,5,20,30,40,10,60,20,0.108253313,0.140512636,1.465287117,0.556946308,2.800703728,0.04753929,2.222306708,-0.00021374,0.917720355,15.475,5,4.6,17.3,4.1,17.8,3.8,59.5,-11.7,40,20,50,2,0,30,10,30,Very Important,Somewhat Worried,A Moderate Amount,A Great Deal,28,"Hispanic, Latino, or Spanish origin",Woman,Associates or technical degree,"$25,000-$49,999",California,92126,Moderate,Moderately,Independent,Concerned,35,15,30,-28,-40,20,-50,10
About the Same,5,3,10,35,20,8,9,10,0.108253313,-0.222172837,0.112955193,0.878734198,0.831271934,-0.177564546,-0.925859914,-0.729180913,0.498249106,7.275,5,2.6,7.3,9.1,-2.2,1.8,8.5,-21.7,10,30,25,0,20,10,0,5,Very Important,Somewhat Worried,Only a Little,A Moderate Amount,35,White,Man,Associates or technical degree,"$100,000-$149,999",Florida,33777,Moderate,Strongly,Independent,Concerned,5,27,15,-35,0,2,-9,-5
More Than,1,1,5,70,5,5,10,5,-0.563261795,-0.58485831,-0.563210768,3.131249427,-0.645801911,-0.515220301,-0.864131157,-1.093664499,0.995174771,12.825,1,0.6,2.3,44.1,-17.2,-1.2,9.5,-26.7,25,0,25,0,25,25,0,0,Very Important,Very Worried,A Moderate Amount,A Great Deal,23,White,Man,High school diploma or GED,"$50,000-$74,999",California,92065,Liberal,Weakly,Independent,Alarmed,24,-1,20,-70,20,20,-10,-5
Less Than,5,0,5,10,0,5,75,0,0.108253313,-0.766201047,-0.563210768,-0.730205251,-1.138159859,-0.515220301,3.148238067,-1.458148085,1.053454587,19.15,5,-0.4,2.3,-15.9,-22.2,-1.2,74.5,-31.7,0,0,20,0,0,0,0,80,Very Important,Somewhat Worried,Only a Little,A Great Deal,36,Black or African American,Woman,High school diploma or GED,"$25,000-$49,999",Pennsylvania,19141,Liberal,Weakly,Democrat,Concerned,-5,0,15,-10,0,-5,-75,80
About the Same,0,0,20,0,5,5,50,20,-0.731140572,-0.766201047,1.465287117,-1.373781031,-0.645801911,-0.515220301,1.605019135,-0.00021374,0.887833107,15.4,0,-0.4,17.3,-25.9,-17.2,-1.2,49.5,-11.7,0,0,100,0,0,0,0,0,Very Important,Not Very Worried,Not at All,Only a Little,31,White,Man,Bachelor degree,"$75,000-$99,999",Maryland,20735,Conservative,Moderately,Republican,Doubtful,0,0,80,0,-5,-5,-50,-20
About the Same,5,5,10,10,20,15,15,20,0.108253313,0.140512636,0.112955193,-0.730205251,0.831271934,0.610298881,-0.55548737,-0.00021374,0.38614979,8.75,5,4.6,7.3,-15.9,-2.2,8.8,14.5,-11.7,10,25,30,0,10,25,0,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,63,White,Woman,"Some college, but no degree","$25,000-$49,999",District of Columbia,20007,Liberal,Strongly,Independent,Alarmed,5,20,20,-10,-10,10,-15,-20
About the Same,0,8,20,40,10,5,5,12,-0.731140572,0.684540845,1.465287117,1.200522088,-0.153443962,-0.515220301,-1.172774943,-0.583387478,0.813289663,9.575,0,7.6,17.3,14.1,-12.2,-1.2,4.5,-19.7,35,15,25,0,10,15,0,0,Very Important,Somewhat Worried,A Moderate Amount,A Great Deal,45,White,Man,Bachelor degree,"$25,000-$49,999",Kentucky,40205,Liberal,Moderately,Democrat,Concerned,35,7,5,-40,0,10,-5,-12
Much Less Than,0,0,5,15,5,5,35,35,-0.731140572,-0.766201047,-0.563210768,-0.408417361,-0.645801911,-0.515220301,0.679087776,1.093237018,0.675289594,8.725,0,-0.4,2.3,-10.9,-17.2,-1.2,34.5,3.3,0,0,95,0,0,5,0,0,Very Important,Very Worried,,A Great Deal,69,White,Woman,Bachelor degree,"Less than $25,000",Pennsylvania,18974,Liberal,Strongly,Democrat,,0,0,90,-15,-5,0,-35,-35
About the Same,5,10,10,50,0,5,10,10,0.108253313,1.047226318,0.112955193,1.844097868,-1.138159859,-0.515220301,-0.864131157,-0.729180913,0.794903115,12.575,5,9.6,7.3,24.1,-22.2,-1.2,9.5,-21.7,10,10,10,25,10,10,10,15,Somewhat important,Somewhat Worried,A Moderate Amount,A Moderate Amount,52,White,Man,"Some college, but no degree","$50,000-$74,999",Indiana,47272,Conservative,Moderately,Republican,Cautious,5,0,0,-25,10,5,0,5
About the Same,0,0,5,30,0,10,35,20,-0.731140572,-0.766201047,-0.563210768,0.556946308,-1.138159859,0.04753929,0.679087776,-0.00021374,0.56031242,9.875,0,-0.4,2.3,4.1,-22.2,3.8,34.5,-11.7,0,0,50,,20,20,10,0,Somewhat important,Somewhat Worried,A Moderate Amount,A Moderate Amount,27,White,Man,High school diploma or GED,"$50,000-$74,999",North Carolina,27577,Conservative,Moderately,Republican,Cautious,0,0,45,-30,20,10,-25,-20
About the Same,5,0,20,7,15,25,20,8,0.108253313,-0.766201047,1.465287117,-0.923277985,0.338913986,1.735818064,-0.246843584,-0.874974347,0.80744618,13.85,5,-0.4,17.3,-18.9,-7.2,18.8,19.5,-23.7,5,9,35,0,10,35,2,4,Very Important,Very Worried,Only a Little,A Great Deal,34,Asian or Asian American,Man,Bachelor degree,"$50,000-$74,999",California,94404,Liberal,Strongly,Democrat,Alarmed,0,9,15,-7,-5,10,-18,-4
About the Same,1,8,7,33,14,15,14,8,-0.563261795,0.684540845,-0.292744384,0.750019042,0.240442396,0.610298881,-0.617216128,-0.874974347,0.579187227,9.275,1,7.6,4.3,7.1,-8.2,8.8,13.5,-23.7,20,30,30,0,0,20,0,0,Somewhat important,Somewhat Worried,Only a Little,A Great Deal,73,White,Man,Graduate or professional degree ,"$75,000-$99,999",Florida,33477,Liberal,Moderately,Democrat,Concerned,19,22,23,-33,-14,5,-14,-8
About the Same,0,0,5,20,10,0,55,10,-0.731140572,-0.766201047,-0.563210768,-0.086629471,-0.153443962,-1.077979892,1.913662921,-0.729180913,0.752681193,12.9,0,-0.4,2.3,-5.9,-12.2,-6.2,54.5,-21.7,40,10,40,0,,10,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,52,White,Woman,Bachelor degree,"$100,000-$149,999",Alaska,99516,Liberal,Strongly,Democrat,Alarmed,40,10,35,-20,-10,10,-55,-10
Less Than,9,5,5,7,30,14,15,15,0.779768421,0.140512636,-0.563210768,-0.923277985,1.815987831,0.497746963,-0.55548737,-0.364697327,0.705086163,10.2,9,4.6,2.3,-18.9,7.8,7.8,14.5,-16.7,5,15,20,5,15,30,5,5,Very Important,Very Worried,A Moderate Amount,A Great Deal,38,White,Man,Bachelor degree,"$100,000-$149,999",Illinois,92506,Liberal,Moderately,Democrat,Alarmed,-4,10,15,-2,-15,16,-10,-10
Much Less Than,25,2,3,5,5,40,10,10,3.465828853,-0.403515574,-0.833677153,-1.051993141,-0.645801911,3.424096838,-0.864131157,-0.729180913,1.427278192,16.25,25,1.6,0.3,-20.9,-17.2,33.8,9.5,-21.7,20,20,5,5,10,15,5,20,Extremely Important,Somewhat Worried,Only a Little,Only a Little,24,White,Man,Bachelor degree,"$100,000-$149,999",Illinois,60000,Conservative,Moderately,Republican,Alarmed,-5,18,2,0,5,-25,-5,10
About the Same,5,2,20,50,15,5,60,30,0.108253313,-0.403515574,1.465287117,1.844097868,0.338913986,-0.515220301,2.222306708,0.728753432,0.953293537,14.7,5,1.6,17.3,24.1,-7.2,-1.2,59.5,-1.7,50,50,100,0,0,10,0,10,Very Important,Very Worried,A Great Deal,A Great Deal,27,White,Woman,Bachelor degree,"$75,000-$99,999",Georgia,30350,Moderate,Moderately,Democrat,Alarmed,45,48,80,-50,-15,5,-60,-20
About the Same,1,1,1,5,5,5,70,12,-0.563261795,-0.58485831,-1.104143538,-1.051993141,-0.645801911,-0.515220301,2.839594281,-0.583387478,0.986032594,16.475,1,0.6,-1.7,-20.9,-17.2,-1.2,69.5,-19.7,3,2,23,0,0,12,50,10,Somewhat important,Somewhat Worried,Only a Little,A Great Deal,70,White,Woman,Graduate or professional degree ,"$75,000-$99,999",Georgia,31210,Moderate,Strongly,Democrat,Concerned,2,1,22,-5,-5,7,-20,-2
About the Same,5,5,10,20,15,5,50,10,0.108253313,0.140512636,0.112955193,-0.086629471,0.338913986,-0.515220301,1.605019135,-0.729180913,0.454585619,12.8,5,4.6,7.3,-5.9,-7.2,-1.2,49.5,-21.7,5,5,45,5,5,25,5,25,Very Important,Very Worried,A Moderate Amount,A Great Deal,36,White,Woman,"Some college, but no degree","$25,000-$49,999",New Jersey,7840,Moderate,Moderately,Independent,Alarmed,0,0,35,-15,-10,20,-45,15
About the Same,0,0,0,30,20,10,20,20,-0.731140572,-0.766201047,-1.23937673,0.556946308,0.831271934,0.04753929,-0.246843584,-0.00021374,0.552441651,5.55,0,-0.4,-2.7,4.1,-2.2,3.8,19.5,-11.7,25,25,25,0,0,25,0,0,Not too important,Not Very Worried,,,37,White,Man,"Some college, but no degree","$25,000-$49,999",Nebraska,68359,Conservative,Moderately,Republican,,25,25,25,-30,-20,15,-20,-20
Much More Than,3,7,9,4,14,8,35,20,-0.227504241,0.503198109,-0.022277999,-1.116350719,0.240442396,-0.177564546,0.679087776,-0.00021374,0.370829941,11.75,3,6.6,6.3,-21.9,-8.2,1.8,34.5,-11.7,15,10,20,0,15,10,10,20,Not too important,Not Very Worried,Not at All,Not At All,61,White,Man,Bachelor degree,"$100,000-$149,999",Connecticut,6811,Moderate,Moderately,Republican,Dismissive,12,3,11,-4,1,2,-25,0
About the Same,5,5,10,5,25,35,10,5,0.108253313,0.140512636,0.112955193,-1.051993141,1.323629883,2.861337247,-0.864131157,-1.093664499,0.944559634,13.2,5,4.6,7.3,-20.9,2.8,28.8,9.5,-26.7,30,0,40,0,0,30,0,0,Somewhat important,Not Very Worried,Only a Little,A Great Deal,34,White,Man,"Some college, but no degree","Less than $25,000",Washington,98002,Liberal,Strongly,Democrat,Concerned,25,-5,30,-5,-25,-5,-10,-5
More Than,10,8,2,30,5,5,25,15,0.947647198,0.684540845,-0.968910345,0.556946308,-0.645801911,-0.515220301,0.061800203,-0.364697327,0.593195555,10.25,10,7.6,-0.7,4.1,-17.2,-1.2,24.5,-16.7,20,20,20,0,30,10,0,0,Very Important,Very Worried,A Moderate Amount,A Great Deal,23,White,Non-binary / Gender Non-conforming,"Some college, but no degree","$100,000-$149,999",Ohio,45385,Moderate,Moderately,Independent,Alarmed,10,12,18,-30,25,5,-25,-15
About the Same,0,0,8,40,0,0,40,12,-0.731140572,-0.766201047,-0.157511191,1.200522088,-1.138159859,-1.077979892,0.987731562,-0.583387478,0.830329211,13.425,0,-0.4,5.3,14.1,-22.2,-6.2,39.5,-19.7,30,0,30,0,0,20,0,20,Somewhat important,Somewhat Worried,A Moderate Amount,A Moderate Amount,47,White,Woman,Associates or technical degree,"$75,000-$99,999",California,95991,Moderate,Strongly,Independent,Cautious,30,0,22,-40,0,20,-40,8
About the Same,0,5,5,20,5,5,20,40,-0.731140572,0.140512636,-0.563210768,-0.086629471,-0.645801911,-0.515220301,-0.246843584,1.457720605,0.548384981,7.375,0,4.6,2.3,-5.9,-17.2,-1.2,19.5,8.3,0,0,25,10,25,15,20,5,Somewhat important,Somewhat Worried,Not at All,A Great Deal,65,White,Woman,Bachelor degree,"$100,000-$149,999",New York,12534,Liberal,Strongly,Democrat,Concerned,0,-5,20,-10,20,10,0,-35
About the Same,20,10,15,19,20,10,40,30,2.626434968,1.047226318,0.789121155,-0.150987049,0.831271934,0.04753929,0.987731562,0.728753432,0.901133214,12,20,9.6,12.3,-6.9,-2.2,3.8,39.5,-1.7,50,20,50,5,5,25,10,10,Somewhat important,Not Very Worried,Only a Little,A Moderate Amount,40,Black or African American,Man,Graduate or professional degree ,"$100,000-$149,999",District of Columbia,20009,Liberal,Moderately,Democrat,Cautious,30,10,35,-14,-15,15,-30,-20
About the Same,0,5,5,0,5,5,75,5,-0.731140572,0.140512636,-0.563210768,-1.373781031,-0.645801911,-0.515220301,3.148238067,-1.093664499,1.026446223,19.05,0,4.6,2.3,-25.9,-17.2,-1.2,74.5,-26.7,0,0,0,0,100,0,0,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,25,"Asian or Asian American,Native Hawaiian or Other Pacific Islander",Prefer not to say,Prefer not to say,Prefer not to say,California,91324,Liberal,Weakly,Independent,Alarmed,0,-5,-5,0,95,-5,-75,-5
More Than,0,0,1,70,0,0,10,19,-0.731140572,-0.766201047,-1.104143538,3.131249427,-1.138159859,-1.077979892,-0.864131157,-0.073110458,1.110764494,12.1,0,-0.4,-1.7,44.1,-22.2,-6.2,9.5,-12.7,5,5,20,0,60,10,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,35,White,Non-binary / Gender Non-conforming,"Some college, but no degree","Less than $25,000",Indiana,46203,Liberal,Strongly,Democrat,Alarmed,5,5,19,-70,60,10,-10,-19
Less Than,30,5,5,20,10,5,30,30,4.305222738,0.140512636,-0.563210768,-0.086629471,-0.153443962,-0.515220301,0.370443989,0.728753432,0.857929662,10.925,30,4.6,2.3,-5.9,-12.2,-1.2,29.5,-1.7,50,0,50,0,0,50,0,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,66,White,Woman,Bachelor degree,"$25,000-$49,999",Massachusetts,2478,Liberal,Strongly,Democrat,Alarmed,20,-5,45,-20,-10,45,-30,-30
About the Same,0,5,5,25,15,10,30,10,-0.731140572,0.140512636,-0.563210768,0.235158419,0.338913986,0.04753929,0.370443989,-0.729180913,0.394512572,8.75,0,4.6,2.3,-0.9,-7.2,3.8,29.5,-21.7,10,0,40,0,0,40,10,0,Not too important,Not At All Worried,Not at All,A Moderate Amount,36,White,Man,Graduate or professional degree ,Prefer not to say,Colorado,80219,Liberal,Weakly,Libertarian,Doubtful,10,-5,35,-25,-15,30,-20,-10
More Than,3,2,10,25,10,5,30,15,-0.227504241,-0.403515574,0.112955193,0.235158419,-0.153443962,-0.515220301,0.370443989,-0.364697327,0.297867376,9.05,3,1.6,7.3,-0.9,-12.2,-1.2,29.5,-16.7,15,15,30,0,20,20,0,0,Very Important,Very Worried,A Great Deal,A Great Deal,24,"Hispanic, Latino, or Spanish origin",Man,Graduate or professional degree ,Prefer not to say,Maryland,21042,Liberal,Strongly,Democrat,Alarmed,12,13,20,-25,10,15,-30,-15
About the Same,5,5,5,35,10,10,5,25,0.108253313,0.140512636,-0.563210768,0.878734198,-0.153443962,0.04753929,-1.172774943,0.364269846,0.42859237,6.025,5,4.6,2.3,9.1,-12.2,3.8,4.5,-6.7,5,5,30,5,30,20,0,5,Somewhat important,Not Very Worried,Only a Little,A Moderate Amount,47,White,Man,"Some college, but no degree","$50,000-$74,999",Maryland,21113,Moderate,Moderately,Independent,Cautious,0,0,25,-30,20,10,-5,-20
Less Than,2,5,5,5,15,18,30,20,-0.395383018,0.140512636,-0.563210768,-1.051993141,0.338913986,0.947954636,0.370443989,-0.00021374,0.476078239,11.25,2,4.6,2.3,-20.9,-7.2,11.8,29.5,-11.7,20,20,20,0,20,15,10,3,Not too important,Not Very Worried,Not at All,Only a Little,59,White,Woman,"Some college, but no degree","$150,000 or more",Georgia,31217,Moderate,Weakly,None,Doubtful,18,15,15,-5,5,-3,-20,-17
About the Same,3,3,10,7,30,5,35,7,-0.227504241,-0.222172837,0.112955193,-0.923277985,1.815987831,-0.515220301,0.679087776,-0.947871065,0.680509654,12.5,3,2.6,7.3,-18.9,7.8,-1.2,34.5,-24.7,50,40,70,0,70,70,0,50,Extremely Important,Very Worried,A Great Deal,A Great Deal,66,White,Woman,Bachelor degree,"$25,000-$49,999",Florida,33317,Moderate,Strongly,Independent,Alarmed,47,37,60,-7,40,65,-35,43
More Than,5,5,7,30,3,20,20,10,0.108253313,0.140512636,-0.292744384,0.556946308,-0.84274509,1.173058473,-0.246843584,-0.729180913,0.511285588,11.525,5,4.6,4.3,4.1,-19.2,13.8,19.5,-21.7,0,0,0,0,100,0,0,0,Somewhat important,Somewhat Worried,A Moderate Amount,Only a Little,22,"White,Some other race or origin",Man,"Some college, but no degree","Less than $25,000",Idaho,83705,Conservative,Moderately,Independent,Cautious,-5,-5,-7,-30,97,-20,-20,-10
About the Same,1,5,10,35,10,10,10,19,-0.563261795,0.140512636,0.112955193,0.878734198,-0.153443962,0.04753929,-0.864131157,-0.073110458,0.354211086,7.525,1,4.6,7.3,9.1,-12.2,3.8,9.5,-12.7,25,20,30,0,5,20,0,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,49,White,Man,Bachelor degree,"$50,000-$74,999",Missouri,64114,Liberal,Moderately,Democrat,Alarmed,24,15,20,-35,-5,10,-10,-19
More Than,10,13,4,3,10,40,11,9,0.947647198,1.591254528,-0.698443961,-1.180708297,-0.153443962,3.424096838,-0.802402399,-0.80207763,1.200009352,15.75,10,12.6,1.3,-22.9,-12.2,33.8,10.5,-22.7,15,8,5,9,15,33,12,3,Extremely Important,Very Worried,A Great Deal,A Great Deal,62,White,Man,Graduate or professional degree ,"$150,000 or more",South Carolina,29909,Moderate,Strongly,Independent,Alarmed,5,-5,1,6,5,-7,1,-6
About the Same,6,7,4,9,9,5,30,30,0.27613209,0.503198109,-0.698443961,-0.794562829,-0.251915552,-0.515220301,0.370443989,0.728753432,0.517333783,9.55,6,6.6,1.3,-16.9,-13.2,-1.2,29.5,-1.7,10,10,15,0,40,20,5,0,Somewhat important,Somewhat Worried,A Moderate Amount,A Great Deal,22,White,Man,Associates or technical degree,"$150,000 or more",North Carolina,28075,Liberal,Weakly,Democrat,Concerned,4,3,11,-9,31,15,-25,-30
More Than,5,10,10,20,5,30,10,10,0.108253313,1.047226318,0.112955193,-0.086629471,-0.645801911,2.298577655,-0.864131157,-0.729180913,0.736594492,12.5,5,9.6,7.3,-5.9,-17.2,23.8,9.5,-21.7,20,0,30,0,30,20,0,0,Very Important,Somewhat Worried,A Moderate Amount,A Moderate Amount,29,Asian or Asian American,Woman,Bachelor degree,"$75,000-$99,999",California,92782,Liberal,Moderately,Democrat,Concerned,15,-10,20,-20,25,-10,-10,-10
Less Than,5,1,10,15,20,4,25,20,0.108253313,-0.58485831,0.112955193,-0.408417361,0.831271934,-0.627772219,0.061800203,-0.00021374,0.341942784,8.05,5,0.6,7.3,-10.9,-2.2,-2.2,24.5,-11.7,0,30,70,0,0,0,0,0,Extremely Important,Somewhat Worried,,A Moderate Amount,32,Asian or Asian American,Man,Bachelor degree,"$25,000-$49,999",California,94720,Liberal,Moderately,Independent,,-5,29,60,-15,-20,-4,-25,-20
Less Than,10,0,10,30,5,5,30,10,0.947647198,-0.766201047,0.112955193,0.556946308,-0.645801911,-0.515220301,0.370443989,-0.729180913,0.580549608,11.425,10,-0.4,7.3,4.1,-17.2,-1.2,29.5,-21.7,10,10,30,0,10,30,0,10,Somewhat important,Somewhat Worried,A Moderate Amount,A Great Deal,29,Asian or Asian American,Man,Bachelor degree,"$50,000-$74,999",California,92870,Liberal,Weakly,None,Concerned,0,10,20,-30,5,25,-30,0
Much Less Than,0,5,20,10,0,5,50,10,-0.731140572,0.140512636,1.465287117,-0.730205251,-1.138159859,-0.515220301,1.605019135,-0.729180913,0.881840723,16.55,0,4.6,17.3,-15.9,-22.2,-1.2,49.5,-21.7,20,0,60,0,0,20,0,0,Somewhat important,Somewhat Worried,Only a Little,A Moderate Amount,42,White,Woman,Associates or technical degree,"$25,000-$49,999",Rhode Island,2860,Liberal,Moderately,Democrat,Cautious,20,-5,40,-10,0,15,-50,-10
More Than,5,10,10,20,5,30,25,10,0.108253313,1.047226318,0.112955193,-0.086629471,-0.645801911,2.298577655,0.061800203,-0.729180913,0.636303122,14.375,5,9.6,7.3,-5.9,-17.2,23.8,24.5,-21.7,20,20,50,0,50,30,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,28,Asian or Asian American,Man,Bachelor degree,"$25,000-$49,999",California,95616,Liberal,Strongly,Independent,Alarmed,15,10,40,-20,45,0,-25,-10
About the Same,10,5,20,20,10,5,25,5,0.947647198,0.140512636,1.465287117,-0.086629471,-0.153443962,-0.515220301,0.061800203,-1.093664499,0.558025673,12.8,10,4.6,17.3,-5.9,-12.2,-1.2,24.5,-26.7,10,10,30,0,20,5,0,25,Very Important,Not Very Worried,A Great Deal,A Great Deal,27,Asian or Asian American,Man,Graduate or professional degree ,"$150,000 or more",Florida,33172,Liberal,Moderately,Independent,Concerned,0,5,10,-20,10,0,-25,20
About the Same,0,0,4,35,10,5,5,40,-0.731140572,-0.766201047,-0.698443961,0.878734198,-0.153443962,-0.515220301,-1.172774943,1.457720605,0.796709949,4.625,0,-0.4,1.3,9.1,-12.2,-1.2,4.5,8.3,3,10,30,0,30,10,2,10,Very Important,Somewhat Worried,Only a Little,A Great Deal,60,White,Man,Bachelor degree,"$25,000-$49,999",Ohio,45327,Liberal,Moderately,Democrat,Concerned,3,10,26,-35,20,5,-3,-30
About the Same,1,0,1,40,5,3,30,20,-0.563261795,-0.766201047,-1.104143538,1.200522088,-0.645801911,-0.740324138,0.370443989,-0.00021374,0.673864031,9.85,1,-0.4,-1.7,14.1,-17.2,-3.2,29.5,-11.7,10,5,60,0,20,5,0,0,Not at all important,Not At All Worried,Only a Little,A Moderate Amount,38,White,Woman,High school diploma or GED,"$150,000 or more",North Carolina,28209,Liberal,Moderately,Democrat,Doubtful,9,5,59,-40,15,2,-30,-20
